season,episode_num_in_season,episode_num_overall,title,directed_by,written_by,original_air_date,us_viewers
1,1,1,Winter Is Coming,Tim Van Patten,David Benioff & D. B. Weiss,17-04-2011,2220000
1,2,2,The Kingsroad,Tim Van Patten,David Benioff & D. B. Weiss,24-04-2011,2200000
1,3,3,Lord Snow,Brian Kirk,David Benioff & D. B. Weiss,01-05-2011,2440000
1,4,4,"Cripples, Bastards, and Broken Things",Brian Kirk,Bryan Cogman,08-05-2011,2450000
1,5,5,The Wolf and the Lion,Brian Kirk,David Benioff & D. B. Weiss,15-05-2011,2580000
1,6,6,A Golden Crown,Daniel Minahan,Story by: David Benioff & D. B. WeissTeleplay by: Jane Espenson and David Benioff & D. B. Weiss,22-05-2011,2440000
1,7,7,You Win or You Die,Daniel Minahan,David Benioff & D. B. Weiss,29-05-2011,2400000
1,8,8,The Pointy End,Daniel Minahan,George R. R. Martin,05-06-2011,2720000
1,9,9,Baelor,Alan Taylor,David Benioff & D. B. Weiss,12-06-2011,2660000
1,10,10,Fire and Blood,Alan Taylor,David Benioff & D. B. Weiss,19-06-2011,3040000
2,1,11,The North Remembers,Alan Taylor,David Benioff & D. B. Weiss,01-04-2012,3860000
2,2,12,The Night Lands,Alan Taylor,David Benioff & D. B. Weiss,08-04-2012,3760000
2,3,13,What Is Dead May Never Die,Alik Sakharov,Bryan Cogman,15-04-2012,3770000
2,4,14,Garden of Bones,David Petrarca,Vanessa Taylor,22-04-2012,3650000
2,5,15,The Ghost of Harrenhal,David Petrarca,David Benioff & D. B. Weiss,29-04-2012,3900000
2,6,16,The Old Gods and the New,David Nutter,Vanessa Taylor,06-05-2012,3880000
2,7,17,A Man Without Honor,David Nutter,David Benioff & D. B. Weiss,13-05-2012,3690000
2,8,18,The Prince of Winterfell,Alan Taylor,David Benioff & D. B. Weiss,20-05-2012,3860000
2,9,19,Blackwater,Neil Marshall,George R. R. Martin,27-05-2012,3380000
2,10,20,Valar Morghulis,Alan Taylor,David Benioff & D. B. Weiss,03-06-2012,4200000
3,1,21,Valar Dohaeris,Daniel Minahan,David Benioff & D. B. Weiss,31-03-2013,4370000
3,2,22,"Dark Wings, Dark Words",Daniel Minahan,Vanessa Taylor,07-04-2013,4270000
3,3,23,Walk of Punishment,David Benioff,David Benioff & D. B. Weiss,14-04-2013,4720000
3,4,24,And Now His Watch Is Ended,Alex Graves,David Benioff & D. B. Weiss,21-04-2013,4870000
3,5,25,Kissed by Fire,Alex Graves,Bryan Cogman,28-04-2013,5350000
3,6,26,The Climb,Alik Sakharov,David Benioff & D. B. Weiss,05-05-2013,5500000
3,7,27,The Bear and the Maiden Fair,Michelle MacLaren,George R. R. Martin,12-05-2013,4840000
3,8,28,Second Sons,Michelle MacLaren,David Benioff & D. B. Weiss,19-05-2013,5130000
3,9,29,The Rains of Castamere,David Nutter,David Benioff & D. B. Weiss,02-06-2013,5220000
3,10,30,Mhysa,David Nutter,David Benioff & D. B. Weiss,09-06-2013,5390000
4,1,31,Two Swords,D. B. Weiss,David Benioff & D. B. Weiss,06-04-2014,6640000
4,2,32,The Lion and the Rose,Alex Graves,George R. R. Martin,13-04-2014,6310000
4,3,33,Breaker of Chains,Alex Graves,David Benioff & D. B. Weiss,20-04-2014,6590000
4,4,34,Oathkeeper,Michelle MacLaren,Bryan Cogman,27-04-2014,6950000
4,5,35,First of His Name,Michelle MacLaren,David Benioff & D. B. Weiss,04-05-2014,7160000
4,6,36,The Laws of Gods and Men,Alik Sakharov,Bryan Cogman,11-05-2014,6400000
4,7,37,Mockingbird,Alik Sakharov,David Benioff & D. B. Weiss,18-05-2014,7200000
4,8,38,The Mountain and the Viper,Alex Graves,David Benioff & D. B. Weiss,01-06-2014,7170000
4,9,39,The Watchers on the Wall,Neil Marshall,David Benioff & D. B. Weiss,08-06-2014,6950000
4,10,40,The Children,Alex Graves,David Benioff & D. B. Weiss,15-06-2014,7090000
5,1,41,The Wars to Come,Michael Slovis,David Benioff & D. B. Weiss,12-04-2015,8000000
5,2,42,The House of Black and White,Michael Slovis,David Benioff & D. B. Weiss,19-04-2015,6810000
5,3,43,High Sparrow,Mark Mylod,David Benioff & D. B. Weiss,26-04-2015,6710000
5,4,44,Sons of the Harpy,Mark Mylod,Dave Hill,03-05-2015,6820000
5,5,45,Kill the Boy,Jeremy Podeswa,Bryan Cogman,10-05-2015,6560000
5,6,46,"Unbowed, Unbent, Unbroken",Jeremy Podeswa,Bryan Cogman,17-05-2015,6240000
5,7,47,The Gift,Miguel Sapochnik,David Benioff & D. B. Weiss,24-05-2015,5400000
5,8,48,Hardhome,Miguel Sapochnik,David Benioff & D. B. Weiss,31-05-2015,7010000
5,9,49,The Dance of Dragons,David Nutter,David Benioff & D. B. Weiss,07-06-2015,7140000
5,10,50,Mother's Mercy,David Nutter,David Benioff & D. B. Weiss,14-06-2015,8110000
6,1,51,The Red Woman,Jeremy Podeswa,David Benioff & D. B. Weiss,24-04-2016,7940000
6,2,52,Home,Jeremy Podeswa,Dave Hill,01-05-2016,7290000
6,3,53,Oathbreaker,Daniel Sackheim,David Benioff & D. B. Weiss,08-05-2016,7280000
6,4,54,Book of the Stranger,Daniel Sackheim,David Benioff & D. B. Weiss,15-05-2016,7820000
6,5,55,The Door,Jack Bender,David Benioff & D. B. Weiss,22-05-2016,7890000
6,6,56,Blood of My Blood,Jack Bender,Bryan Cogman,29-05-2016,6710000
6,7,57,The Broken Man,Mark Mylod,Bryan Cogman,05-06-2016,7800000
6,8,58,No One,Mark Mylod,David Benioff & D. B. Weiss,12-06-2016,7600000
6,9,59,Battle of the Bastards,Miguel Sapochnik,David Benioff & D. B. Weiss,19-06-2016,7660000
6,10,60,The Winds of Winter,Miguel Sapochnik,David Benioff & D. B. Weiss,26-06-2016,8890000
7,1,61,Dragonstone,Jeremy Podeswa,David Benioff & D. B. Weiss,16-07-2017,10110000
7,2,62,Stormborn,Mark Mylod,Bryan Cogman,23-07-2017,9270000
7,3,63,The Queen's Justice,Mark Mylod,David Benioff & D. B. Weiss,30-07-2017,9250000
7,4,64,The Spoils of War,Matt Shakman,David Benioff & D. B. Weiss,06-08-2017,10170000
7,5,65,Eastwatch,Matt Shakman,Dave Hill,13-08-2017,10720000
7,6,66,Beyond the Wall,Alan Taylor,David Benioff & D. B. Weiss,20-08-2017,10240000
7,7,67,The Dragon and the Wolf,Jeremy Podeswa,David Benioff & D. B. Weiss,27-08-2017,12070000
8,1,68,Winterfell,David Nutter,Dave Hill,14-04-2019,11760000
8,2,69,A Knight of the Seven Kingdoms,David Nutter,Bryan Cogman,21-04-2019,10290000
8,3,70,The Long Night,Miguel Sapochnik,David Benioff & D. B. Weiss,28-04-2019,12020000
8,4,71,The Last of the Starks,David Nutter,David Benioff & D. B. Weiss,05-05-2019,11800000
8,5,72,The Bells,Miguel Sapochnik,David Benioff & D. B. Weiss,12-05-2019,12480000
8,6,73,The Iron Throne,David Benioff & D. B. Weiss,David Benioff & D. B. Weiss,19-05-2019,13610000
